Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,TrackStatus,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,IsPersonalBest
VER,Red Bull Racing,1.0,,,0:37:809,0:44:065,SOFT,1.0,1,211.0,275.0,293.0,231.0,,False
VER,Red Bull Racing,2.0,1:13:664,0:21:873,0:29:446,0:22:345,SOFT,2.0,1,287.0,306.0,295.0,324.0,,True
VER,Red Bull Racing,3.0,,0:39:920,1:03:381,0:47:856,SOFT,3.0,1,114.0,127.0,178.0,190.0,,False
VER,Red Bull Racing,4.0,,0:36:602,0:43:575,,SOFT,4.0,15,195.0,130.0,,220.0,,False
VER,Red Bull Racing,5.0,,,0:39:238,0:28:964,INTERMEDIATE,1.0,1,196.0,230.0,269.0,223.0,,False
VER,Red Bull Racing,6.0,1:24:100,0:24:446,0:32:944,0:26:710,INTERMEDIATE,2.0,1,238.0,238.0,271.0,297.0,,False
VER,Red Bull Racing,7.0,1:49:298,0:32:902,0:41:226,0:35:170,INTERMEDIATE,3.0,1,145.0,193.0,,247.0,,False
VER,Red Bull Racing,8.0,2:17:476,1:02:134,0:44:536,0:30:806,INTERMEDIATE,4.0,1,135.0,211.0,273.0,240.0,,False
VER,Red Bull Racing,9.0,1:23:272,0:23:924,0:32:663,0:26:685,INTERMEDIATE,5.0,1,261.0,252.0,269.0,297.0,,False
VER,Red Bull Racing,10.0,1:38:725,0:28:536,0:36:939,0:33:250,INTERMEDIATE,6.0,1,167.0,230.0,,270.0,,False
VER,Red Bull Racing,11.0,,,0:37:526,0:34:447,SOFT,1.0,1,208.0,197.0,,219.0,,False
VER,Red Bull Racing,12.0,1:51:136,0:46:078,0:37:591,0:27:467,SOFT,2.0,1,174.0,235.0,240.0,208.0,,False
VER,Red Bull Racing,13.0,1:43:930,0:26:891,0:37:025,0:40:014,SOFT,3.0,1,199.0,215.0,98.0,278.0,,False
VER,Red Bull Racing,14.0,2:00:799,0:53:721,0:36:100,0:30:978,SOFT,4.0,1,189.0,220.0,,282.0,,False
SAR,Williams,1.0,,,0:42:439,0:29:383,SOFT,1.0,1,212.0,242.0,271.0,227.0,,False
SAR,Williams,2.0,1:16:529,0:22:891,0:30:681,0:22:957,SOFT,2.0,1,280.0,299.0,293.0,313.0,,True
SAR,Williams,3.0,1:46:787,0:32:020,0:45:717,0:29:050,SOFT,3.0,1,118.0,227.0,,312.0,,False
SAR,Williams,4.0,2:06:777,0:54:525,0:43:979,0:28:273,SOFT,1.0,1,222.0,247.0,292.0,223.0,,False
SAR,Williams,5.0,,0:22:265,0:30:040,,SOFT,2.0,15,284.0,302.0,,323.0,,False
NOR,McLaren,1.0,,,0:36:067,0:35:862,SOFT,1.0,1,226.0,138.0,289.0,182.0,,False
NOR,McLaren,2.0,1:14:681,0:22:264,0:29:952,0:22:465,SOFT,2.0,1,281.0,298.0,291.0,318.0,,True
NOR,McLaren,3.0,2:07:879,0:34:018,0:52:740,0:41:121,SOFT,3.0,1,133.0,157.0,284.0,271.0,,False
NOR,McLaren,4.0,1:14:690,0:22:076,0:29:901,0:22:713,SOFT,4.0,1,288.0,301.0,289.0,324.0,,False
NOR,McLaren,5.0,,0:37:425,0:52:297,,SOFT,5.0,15,120.0,152.0,,212.0,,False
